"代码","名称","市场","行业分类","分类来源"
"688055","龙腾光电","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688055&sdate=1990-01-01&edate=2026-07-24）"
"688079","美迪凯","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688079&sdate=1990-01-01&edate=2026-07-24）"
"688080","映翰通","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688080&sdate=1990-01-01&edate=2026-07-24）"
"688100","威胜信息","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688100&sdate=1990-01-01&edate=2026-07-24）"
"688127","蓝特光学","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688127&sdate=1990-01-01&edate=2026-07-24）"
"688143","长盈通","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688143&sdate=1990-01-01&edate=2026-07-24）"
"688159","有方科技","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688159&sdate=1990-01-01&edate=2026-07-24）"
"688181","八亿时空","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688181&sdate=1990-01-01&edate=2026-07-24）"
"688182","灿勤科技","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688182&sdate=1990-01-01&edate=2026-07-24）"
"688183","生益电子","上交所科创板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688183&sdate=1990-01-01&edate=2026-07-24）"
"688195","腾景科技","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688195&sdate=1990-01-01&edate=2026-07-24）"
"688205","德科立","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688205&sdate=1990-01-01&edate=2026-07-24）"
"688283","坤恒顺维","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688283&sdate=1990-01-01&edate=2026-07-24）"
"688299","长阳科技","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688299&sdate=1990-01-01&edate=2026-07-24）"
"688307","中润光学","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688307&sdate=1990-01-01&edate=2026-07-24）"
"688313","仕佳光子","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688313&sdate=1990-01-01&edate=2026-07-24）"
"688322","奥比中光","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688322&sdate=1990-01-01&edate=2026-07-24）"
"688378","奥来德","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688378&sdate=1990-01-01&edate=2026-07-24）"
"688387","信科移动","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688387&sdate=1990-01-01&edate=2026-07-24）"
"688418","震有科技","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688418&sdate=1990-01-01&edate=2026-07-24）"
"688496","*ST清越","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688496&sdate=1990-01-01&edate=2026-07-24）"
"688502","茂莱光学","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688502&sdate=1990-01-01&edate=2026-07-24）"
"688519","南亚新材","上交所科创板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688519&sdate=1990-01-01&edate=2026-07-24）"
"688538","和辉光电","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688538&sdate=1990-01-01&edate=2026-07-24）"
"688539","高华科技","上交所科创板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688539&sdate=1990-01-01&edate=2026-07-24）"
"688592","司南导航","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688592&sdate=1990-01-01&edate=2026-07-24）"
"688618","三旺通信","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688618&sdate=1990-01-01&edate=2026-07-24）"
"688635","长进光子","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688635&sdate=1990-01-01&edate=2026-07-24）"
"688655","迅捷兴","上交所科创板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688655&sdate=1990-01-01&edate=2026-07-24）"
"688668","鼎通科技","上交所科创板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688668&sdate=1990-01-01&edate=2026-07-24）"
"688781","视涯科技","上交所科创板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=688781&sdate=1990-01-01&edate=2026-07-24）"
"920001","纬达光电","北交所","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920001&sdate=1990-01-01&edate=2026-07-24）"
"920045","蘅东光","北交所","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920045&sdate=1990-01-01&edate=2026-07-24）"
"920060","万源通","北交所","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920060&sdate=1990-01-01&edate=2026-07-24）"
"920128","胜业电气","北交所","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920128&sdate=1990-01-01&edate=2026-07-24）"
"920161","龙辰科技","北交所","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920161&sdate=1990-01-01&edate=2026-07-24）"
"920249","利尔达","北交所","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920249&sdate=1990-01-01&edate=2026-07-24）"
"920374","云里物里","北交所","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920374&sdate=1990-01-01&edate=2026-07-24）"
"920438","戈碧迦","北交所","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920438&sdate=1990-01-01&edate=2026-07-24）"
"920491","奥迪威","北交所","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920491&sdate=1990-01-01&edate=2026-07-24）"
"920640","富士达","北交所","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920640&sdate=1990-01-01&edate=2026-07-24）"
"920821","则成电子","北交所","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920821&sdate=1990-01-01&edate=2026-07-24）"
"920981","晶赛科技","北交所","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=920981&sdate=1990-01-01&edate=2026-07-24）"
"001309","德明利","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=001309&sdate=1990-01-01&edate=2026-07-24）"
"002049","紫光国微","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002049&sdate=1990-01-01&edate=2026-07-24）"
"002077","大港股份","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002077&sdate=1990-01-01&edate=2026-07-24）"
"002119","康强电子","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002119&sdate=1990-01-01&edate=2026-07-24）"
"002156","通富微电","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002156&sdate=1990-01-01&edate=2026-07-24）"
"002185","华天科技","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002185&sdate=1990-01-01&edate=2026-07-24）"
"002213","大为股份","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002213&sdate=1990-01-01&edate=2026-07-24）"
"002371","北方华创","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002371&sdate=1990-01-01&edate=2026-07-24）"
"002409","雅克科技","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002409&sdate=1990-01-01&edate=2026-07-24）"
"003026","中晶科技","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=003026&sdate=1990-01-01&edate=2026-07-24）"
"003043","华亚智能","深交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=003043&sdate=1990-01-01&edate=2026-07-24）"
"300046","台基股份","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300046&sdate=1990-01-01&edate=2026-07-24）"
"300053","航宇微","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300053&sdate=1990-01-01&edate=2026-07-24）"
"300077","国民技术","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300077&sdate=1990-01-01&edate=2026-07-24）"
"300223","北京君正","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300223&sdate=1990-01-01&edate=2026-07-24）"
"300327","中颖电子","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300327&sdate=1990-01-01&edate=2026-07-24）"
"300373","扬杰科技","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300373&sdate=1990-01-01&edate=2026-07-24）"
"300456","赛微电子","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300456&sdate=1990-01-01&edate=2026-07-24）"
"300458","全志科技","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300458&sdate=1990-01-01&edate=2026-07-24）"
"300604","长川科技","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300604&sdate=1990-01-01&edate=2026-07-24）"
"300613","富瀚微","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300613&sdate=1990-01-01&edate=2026-07-24）"
"300623","捷捷微电","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300623&sdate=1990-01-01&edate=2026-07-24）"
"300661","圣邦股份","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300661&sdate=1990-01-01&edate=2026-07-24）"
"300666","江丰电子","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300666&sdate=1990-01-01&edate=2026-07-24）"
"300671","富满微","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300671&sdate=1990-01-01&edate=2026-07-24）"
"300672","国科微","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300672&sdate=1990-01-01&edate=2026-07-24）"
"300706","阿石创","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300706&sdate=1990-01-01&edate=2026-07-24）"
"300782","卓胜微","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300782&sdate=1990-01-01&edate=2026-07-24）"
"300831","ST派瑞","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300831&sdate=1990-01-01&edate=2026-07-24）"
"301297","富乐德","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301297&sdate=1990-01-01&edate=2026-07-24）"
"301308","江波龙","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301308&sdate=1990-01-01&edate=2026-07-24）"
"301348","蓝箭电子","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301348&sdate=1990-01-01&edate=2026-07-24）"
"301369","联动科技","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301369&sdate=1990-01-01&edate=2026-07-24）"
"301536","星宸科技","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301536&sdate=1990-01-01&edate=2026-07-24）"
"301583","托伦斯","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301583&sdate=1990-01-01&edate=2026-07-24）"
"301611","珂玛科技","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301611&sdate=1990-01-01&edate=2026-07-24）"
"301629","矽电股份","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301629&sdate=1990-01-01&edate=2026-07-24）"
"301666","大普微","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301666&sdate=1990-01-01&edate=2026-07-24）"
"301678","新恒汇","深交所创业板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=301678&sdate=1990-01-01&edate=2026-07-24）"
"600171","上海贝岭","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600171&sdate=1990-01-01&edate=2026-07-24）"
"600206","有研新材","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600206&sdate=1990-01-01&edate=2026-07-24）"
"600360","华微电子","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600360&sdate=1990-01-01&edate=2026-07-24）"
"600460","士兰微","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600460&sdate=1990-01-01&edate=2026-07-24）"
"600584","长电科技","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600584&sdate=1990-01-01&edate=2026-07-24）"
"600641","先导基电","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600641&sdate=1990-01-01&edate=2026-07-24）"
"600745","*ST闻泰","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600745&sdate=1990-01-01&edate=2026-07-24）"
"600877","电科芯片","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=600877&sdate=1990-01-01&edate=2026-07-24）"
"603005","晶方科技","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603005&sdate=1990-01-01&edate=2026-07-24）"
"603061","金海通","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603061&sdate=1990-01-01&edate=2026-07-24）"
"603068","博通集成","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603068&sdate=1990-01-01&edate=2026-07-24）"
"603160","汇顶科技","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603160&sdate=1990-01-01&edate=2026-07-24）"
"603290","斯达半导","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603290&sdate=1990-01-01&edate=2026-07-24）"
"603316","诚邦股份","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603316&sdate=1990-01-01&edate=2026-07-24）"
"603375","盛景微","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603375&sdate=1990-01-01&edate=2026-07-24）"
"603501","豪威集团","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603501&sdate=1990-01-01&edate=2026-07-24）"
"603690","至纯科技","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603690&sdate=1990-01-01&edate=2026-07-24）"
"603893","瑞芯微","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603893&sdate=1990-01-01&edate=2026-07-24）"
"603986","兆易创新","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603986&sdate=1990-01-01&edate=2026-07-24）"
"603991","领先股份","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=603991&sdate=1990-01-01&edate=2026-07-24）"
"605111","新洁能","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=605111&sdate=1990-01-01&edate=2026-07-24）"
"605358","立昂微","上交所主板","半导体","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=605358&sdate=1990-01-01&edate=2026-07-24）"
