"代码","名称","市场","行业分类","分类来源"
"002296","辉煌科技","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002296&sdate=1990-01-01&edate=2026-07-24）"
"002313","日海智能","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002313&sdate=1990-01-01&edate=2026-07-24）"
"002384","东山精密","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002384&sdate=1990-01-01&edate=2026-07-24）"
"002387","维信诺","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002387&sdate=1990-01-01&edate=2026-07-24）"
"002396","星网锐捷","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002396&sdate=1990-01-01&edate=2026-07-24）"
"002436","兴森科技","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002436&sdate=1990-01-01&edate=2026-07-24）"
"002449","国星光电","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002449&sdate=1990-01-01&edate=2026-07-24）"
"002456","欧菲光","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002456&sdate=1990-01-01&edate=2026-07-24）"
"002463","沪电股份","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002463&sdate=1990-01-01&edate=2026-07-24）"
"002484","江海股份","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002484&sdate=1990-01-01&edate=2026-07-24）"
"002491","通鼎互联","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002491&sdate=1990-01-01&edate=2026-07-24）"
"002552","宝鼎科技","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002552&sdate=1990-01-01&edate=2026-07-24）"
"002579","中京电子","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002579&sdate=1990-01-01&edate=2026-07-24）"
"002583","海能达","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002583&sdate=1990-01-01&edate=2026-07-24）"
